MODE,BLOCK_SIZE,SIZE,THREADS,TIME,SPEEDUP,EFFICIENCY,VERIFIED,STDDEV
tiled,256,2048,20,2.053900,15.2591,0.7630,OK,0.037003
tiled,256,2048,24,2.042100,15.3473,0.6395,OK,0.049488
tiled,256,2048,32,2.002893,15.6477,0.4890,OK,0.045955
MODE,BLOCK_SIZE,SIZE,THREADS,TIME,SPEEDUP,EFFICIENCY,VERIFIED,STDDEV
tiled_opt,32,512,2,0.013248,12.2096,6.1048,OK,0.000245
tiled_opt,32,512,4,0.006661,24.2859,6.0715,OK,0.000224
tiled_opt,32,512,8,0.006632,24.3917,3.0490,OK,0.000346
tiled_opt,32,512,12,0.005573,29.0255,2.4188,OK,0.000414
tiled_opt,32,512,16,0.006391,25.3108,1.5819,OK,0.000494
tiled_opt,32,512,20,0.006390,25.3124,1.2656,OK,0.000474
tiled_opt,32,512,24,0.006447,25.0896,1.0454,OK,0.000104
tiled_opt,32,512,32,0.006432,25.1478,0.7859,OK,0.000581
tiled_opt,64,512,2,0.009492,17.0423,8.5211,OK,0.000441
tiled_opt,64,512,4,0.004895,33.0427,8.2607,OK,0.000254
tiled_opt,64,512,8,0.004630,34.9376,4.3672,OK,0.000064
tiled_opt,64,512,12,0.004264,37.9319,3.1610,OK,0.000178
tiled_opt,64,512,16,0.005179,31.2338,1.9521,OK,0.000364
tiled_opt,64,512,20,0.004768,33.9221,1.6961,OK,0.002654
tiled_opt,64,512,24,0.004654,34.7574,1.4482,OK,0.000035
tiled_opt,64,512,32,0.004689,34.5006,1.0781,OK,0.000582
tiled_opt,128,512,2,0.009197,17.5873,8.7937,OK,0.000445
tiled_opt,128,512,4,0.004117,39.2937,9.8234,OK,0.000165
tiled_opt,128,512,8,0.007686,21.0448,2.6306,OK,0.000739
tiled_opt,128,512,12,0.006867,23.5558,1.9630,OK,0.000301
tiled_opt,128,512,16,0.007133,22.6761,1.4173,OK,0.000946
tiled_opt,128,512,20,0.006523,24.7997,1.2400,OK,0.000826
tiled_opt,128,512,24,0.006834,23.6705,0.9863,OK,0.001016
tiled_opt,128,512,32,0.006365,25.4127,0.7941,OK,0.001154
tiled_opt,256,512,2,0.009627,16.8027,8.4014,OK,0.000158
tiled_opt,256,512,4,0.009182,17.6172,4.4043,OK,0.000391
tiled_opt,256,512,8,0.011421,14.1630,1.7704,OK,0.001324
tiled_opt,256,512,12,0.012120,13.3464,1.1122,OK,0.001746
tiled_opt,256,512,16,0.009196,17.5895,1.0993,OK,0.001564
tiled_opt,256,512,20,0.009791,16.5213,0.8261,OK,0.001785
tiled_opt,256,512,24,0.009030,17.9137,0.7464,OK,0.000822
tiled_opt,256,512,32,0.009668,16.7314,0.5229,OK,0.001486
tiled_opt,32,1024,2,0.105976,11.3725,5.6862,OK,0.000484
tiled_opt,32,1024,4,0.056318,21.4001,5.3500,OK,0.000567
tiled_opt,32,1024,8,0.041058,29.3538,3.6692,OK,0.000478
tiled_opt,32,1024,12,0.041306,29.1773,2.4314,OK,0.001556
tiled_opt,32,1024,16,0.040624,29.6673,1.8542,OK,0.001432
tiled_opt,32,1024,20,0.041091,29.3302,1.4665,OK,0.002329
tiled_opt,32,1024,24,0.046890,25.7030,1.0710,OK,0.001609
tiled_opt,32,1024,32,0.042849,28.1271,0.8790,OK,0.003291
tiled_opt,64,1024,2,0.077067,15.6385,7.8193,OK,0.002725
tiled_opt,64,1024,4,0.050610,23.8138,5.9534,OK,0.000033
tiled_opt,64,1024,8,0.044736,26.9406,3.3676,OK,0.004277
tiled_opt,64,1024,12,0.039542,30.4789,2.5399,OK,0.000989
tiled_opt,64,1024,16,0.030825,39.0985,2.4437,OK,0.001724
tiled_opt,64,1024,20,0.031001,38.8766,1.9438,OK,0.001388
tiled_opt,64,1024,24,0.031108,38.7433,1.6143,OK,0.001274
tiled_opt,64,1024,32,0.032712,36.8430,1.1513,OK,0.001721
tiled_opt,128,1024,2,0.075851,15.8893,7.9446,OK,0.000287
tiled_opt,128,1024,4,0.041899,28.7647,7.1912,OK,0.000174
tiled_opt,128,1024,8,0.032636,36.9283,4.6160,OK,0.000774
tiled_opt,128,1024,12,0.032873,36.6622,3.0552,OK,0.002318
tiled_opt,128,1024,16,0.030304,39.7703,2.4856,OK,0.001656
tiled_opt,128,1024,20,0.031003,38.8744,1.9437,OK,0.001564
tiled_opt,128,1024,24,0.030799,39.1309,1.6305,OK,0.001503
tiled_opt,128,1024,32,0.032115,37.5281,1.1728,OK,0.006744
tiled_opt,256,1024,2,0.076349,15.7854,7.8927,OK,0.000110
tiled_opt,256,1024,4,0.041364,29.1365,7.2841,OK,0.000402
tiled_opt,256,1024,8,0.054693,22.0359,2.7545,OK,0.004679
tiled_opt,256,1024,12,0.054365,22.1690,1.8474,OK,0.005889
tiled_opt,256,1024,16,0.051395,23.4499,1.4656,OK,0.001835
tiled_opt,256,1024,20,0.049672,24.2634,1.2132,OK,0.003060
tiled_opt,256,1024,24,0.050889,23.6831,0.9868,OK,0.003424
tiled_opt,256,1024,32,0.051494,23.4046,0.7314,OK,0.003002
tiled_opt,32,2048,2,0.786962,39.4752,19.7376,OK,0.001882
tiled_opt,32,2048,4,0.414246,74.9928,18.7482,OK,0.042731
tiled_opt,32,2048,8,0.318518,97.5312,12.1914,OK,0.001103
tiled_opt,32,2048,12,0.321701,96.5663,8.0472,OK,0.002865
tiled_opt,32,2048,16,0.311355,99.7751,6.2359,OK,0.003441
tiled_opt,32,2048,20,0.313485,99.0971,4.9549,OK,0.002898
tiled_opt,32,2048,24,0.315833,98.3604,4.0983,OK,0.003169
tiled_opt,32,2048,32,0.316212,98.2425,3.0701,OK,0.003388
tiled_opt,64,2048,2,0.641690,48.4120,24.2060,OK,0.018832
tiled_opt,64,2048,4,0.332537,93.4196,23.3549,OK,0.003823
tiled_opt,64,2048,8,0.236170,131.5387,16.4423,OK,0.017099
tiled_opt,64,2048,12,0.257336,120.7195,10.0600,OK,0.005831
tiled_opt,64,2048,16,0.249315,124.6034,7.7877,OK,0.002245
tiled_opt,64,2048,20,0.249896,124.3137,6.2157,OK,0.003792
tiled_opt,64,2048,24,0.251321,123.6088,5.1504,OK,0.004690
tiled_opt,64,2048,32,0.240747,129.0376,4.0324,OK,0.003543
tiled_opt,128,2048,2,0.595319,52.1829,26.0914,OK,0.002356
tiled_opt,128,2048,4,0.307141,101.1439,25.2860,OK,0.000887
tiled_opt,128,2048,8,0.264339,117.5212,14.6901,OK,0.021879
tiled_opt,128,2048,12,0.237213,130.9600,10.9133,OK,0.004000
tiled_opt,128,2048,16,0.235504,131.9106,8.2444,OK,0.011140
tiled_opt,128,2048,20,0.226866,136.9331,6.8467,OK,0.006451
tiled_opt,128,2048,24,0.230608,134.7108,5.6130,OK,0.009532
tiled_opt,128,2048,32,0.239231,129.8555,4.0580,OK,0.007346
tiled_opt,256,2048,2,0.620113,50.0964,25.0482,OK,0.002835
tiled_opt,256,2048,4,0.348274,89.1982,22.2995,OK,0.001731
tiled_opt,256,2048,8,0.270252,114.9500,14.3688,OK,0.006599
tiled_opt,256,2048,12,0.269085,115.4486,9.6207,OK,0.023175
tiled_opt,256,2048,16,0.274077,113.3457,7.0841,OK,0.010174
tiled_opt,256,2048,20,0.265377,117.0617,5.8531,OK,0.005759
tiled_opt,256,2048,24,0.265833,116.8607,4.8692,OK,0.009235
tiled_opt,256,2048,32,0.272322,114.0761,3.5649,OK,0.014141
